Name,Brand,Ratings,No_of_ratings,No_of_reviews,Product_features,MSP,MRP,Discount
Godrej 1.5 Ton 5 Star Split Inverter Convertible 5-in-1 Cooling With Anti-Virus Protection AC  - White...,Godrej,4.3,321, 35,"['Power Consumption: 840.2 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",37599,59000,36
Godrej 1.5 Ton 5 Star Split Inverter Convertible 5-in-1 Cooling With Anti-Virus Protection AC  - White...,Godrej,4.6,16, 0,"['Power Consumption: 840.2 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",36790,51900,29
Hitachi 1.5 Ton 3 Star Window AC  - White,Hitachi,3.7,14, 1,['Room Size: 111 to 150 sqft'],28989,34490,15
Hitachi 1 Ton 5 Star Split Inverter AC  - White,Hitachi,4.5,6, 2,"['Power Consumption: 965 W', 'Room Size: 90 sqft or Below', '1 Year on Product, 1 Year on Condenser and 5 Years on Compressor From Hitachi']",37949,54600,30
Lloyd 1 Ton 3 Star Split Inverter AC  - White,Lloyd,4.3,16, 0,"['Power Consumption: 745.89 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 10 Years on Compressor from LLOYD']",31287,44990,30
Voltas 1.5 Ton 5 Star Window AC  - White,Voltas,4.3,2110, 182,"['Power Consumption: 1495 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor']",30999,34690,10
"Hitachi 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White, Gold",Hitachi,3.9,21, 3,"['Power Consumption: 780.6 W', 'Room Size: 111 to 150 sqft', '2 Year on Product, 5 Years on Controller and 10 Years on Compressor']",41500,60700,31
Lloyd 1 Ton 5 Star Split Inverter AC  - White,Lloyd,4.3,481, 51,"['Power Consumption: 574.71 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Lloyd']",35599,54990,35
Daikin 1 Ton 5 Star Split Inverter AC  - White,Daikin,4.2,26, 4,"['Power Consumption: 822 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 5 Years on Compressor']",45899,52000,11
"Hitachi 1 Ton 5 Star Split Inverter AC  - White, Gold",Hitachi,3.9,3262, 337,"['Power Consumption: 585.85 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Complete Product and 10 Years on Compressor']",39899,54600,26
Panasonic 2 Ton 3 Star Split AC  - White,Panasonic,3.6,10, 0,"['Power Consumption: 1710 W', 'Room Size: 151 to 200 sqft', '1 Year on the Product and 4 Years on the Compressor']",47500,59100,19
CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,CARRIER,4.7,3, 1,"['Power Consumption: 1380 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",42500,54990,22
